acct_name,this_year_amt,this_year_percent,last_year_amt,last_year_percent,report_name,company_id,company_name,creation_date,seq,stock
資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,0,0.00,0,0.00,BalanceSheet,7067309,味王股份有限公司,2024-07-13,54,1203
資本公積合計,"46,016",0.45,"43,493",0.43,BalanceSheet,7067309,味王股份有限公司,2024-07-13,55,1203
保留盈餘,,,,,BalanceSheet,7067309,味王股份有限公司,2024-07-13,56,1203
法定盈餘公積,"525,640",5.09,"461,976",4.57,BalanceSheet,7067309,味王股份有限公司,2024-07-13,57,1203
特別盈餘公積,"1,005,964",9.74,"1,005,964",9.94,BalanceSheet,7067309,味王股份有限公司,2024-07-13,58,1203
未分配盈餘（或待彌補虧損）,"1,866,707",18.07,"1,647,053",16.28,BalanceSheet,7067309,味王股份有限公司,2024-07-13,59,1203
保留盈餘合計,"3,398,311",32.90,"3,114,993",30.78,BalanceSheet,7067309,味王股份有限公司,2024-07-13,60,1203
其他權益,,,,,BalanceSheet,7067309,味王股份有限公司,2024-07-13,61,1203
其他權益合計,"104,221",1.01,"111,401",1.10,BalanceSheet,7067309,味王股份有限公司,2024-07-13,62,1203
庫藏股票,"-38,464",-0.37,"-38,464",-0.38,BalanceSheet,7067309,味王股份有限公司,2024-07-13,63,1203
歸屬於母公司業主之權益合計,"5,910,084",57.22,"5,631,423",55.65,BalanceSheet,7067309,味王股份有限公司,2024-07-13,64,1203
非控制權益,"1,056,229",10.23,"1,090,926",10.78,BalanceSheet,7067309,味王股份有限公司,2024-07-13,65,1203
權益總額,"6,966,313",67.44,"6,722,349",66.43,BalanceSheet,7067309,味王股份有限公司,2024-07-13,66,1203
負債及權益總計,"10,329,457",100.00,"10,118,735",100.00,BalanceSheet,7067309,味王股份有限公司,2024-07-13,67,1203
待註銷股本股數（單位：股）,0,,0,,BalanceSheet,7067309,味王股份有限公司,2024-07-13,68,1203
預收股款（權益項下）之約當發行股數（單位：股）,0,,0,,BalanceSheet,7067309,味王股份有限公司,2024-07-13,69,1203
